,open,high,low,close,adjclose,volume
2022-05-23,18235.0,18235.0,17950.0,17988.400390625,17359.591796875,1332
2022-05-24,17988.400390625,18106.94921875,17950.0,17983.44921875,17354.814453125,1615
2022-05-25,18119.0,18119.0,17880.0,17926.599609375,17299.951171875,1844
2022-05-26,17995.0,18003.099609375,17410.0,17457.69921875,16847.44140625,11420
2022-05-27,17690.0,17799.0,17273.0,17563.44921875,16949.49609375,5984
2022-05-30,19800.0,20899.0,19052.0,19475.05078125,18794.2734375,59624
2022-05-31,19200.0,20494.849609375,19090.55078125,20193.80078125,19487.900390625,15248
2022-06-01,20200.0,21450.0,20200.0,21213.80078125,20472.244140625,12117
2022-06-02,21350.0,21609.0,20916.05078125,21357.94921875,20611.353515625,5538
2022-06-03,21600.0,21786.0,20771.349609375,21290.400390625,20546.166015625,6906
2022-06-06,21000.0,21190.0,20620.0,20811.94921875,20084.439453125,3660
2022-06-07,20769.0,21325.0,20502.150390625,21187.349609375,20446.716796875,4068
2022-06-08,21143.0,21358.400390625,20725.44921875,20801.69921875,20074.548828125,2208
2022-06-09,20908.599609375,20960.0,20611.0,20672.5,19949.865234375,1177
2022-06-10,20611.0,20699.0,20356.55078125,20484.75,19768.677734375,1037
2022-06-13,20424.0,20424.0,19800.0,20337.25,19626.333984375,5259
2022-06-14,20062.0,20337.19921875,19792.80078125,19899.05078125,19203.453125,1136
2022-06-15,20000.0,20444.849609375,19773.05078125,20278.55078125,19569.6875,2216
2022-06-16,20325.0,20487.0,19505.30078125,19875.349609375,19180.580078125,1454
2022-06-17,19875.349609375,20158.650390625,19411.0,19644.69921875,18957.9921875,8318
2022-06-20,19670.0,20000.0,19423.650390625,19594.19921875,18909.2578125,5330
2022-06-21,19969.0,20041.0,19774.69921875,19987.400390625,19288.71484375,33745
2022-06-22,19900.0,19900.0,19634.849609375,19764.849609375,19073.943359375,54194
2022-06-23,19898.849609375,20380.0,19625.0,20300.30078125,19590.67578125,3103
2022-06-24,20350.0,20626.69921875,20078.349609375,20456.44921875,19741.3671875,22800
2022-06-27,20700.0,20975.0,20100.0,20838.75,20110.302734375,20933
2022-06-28,20531.0,22818.150390625,20531.0,22013.05078125,21243.5546875,5840
2022-06-29,22020.0,22857.900390625,22015.05078125,22438.44921875,21654.083984375,12570
2022-06-30,22494.0,22800.0,21566.650390625,21854.05078125,21090.11328125,5861
2022-07-01,21950.0,21999.0,21126.05078125,21905.55078125,21139.8125,4159
2022-07-04,21906.0,22450.0,21906.0,22222.150390625,21445.345703125,3830
2022-07-05,22499.0,22501.0,22223.05078125,22397.400390625,21614.46875,2123
2022-07-06,22400.0,22850.0,22400.0,22723.0,21928.6875,2960
2022-07-07,22723.25,22850.0,22369.099609375,22711.30078125,21917.396484375,5170
2022-07-08,22725.0,23011.25,22521.5,22871.05078125,22071.5625,3240
2022-07-11,22701.0,23000.0,22600.05078125,22869.75,22070.306640625,1564
2022-07-12,22750.0,23125.0,22685.349609375,22938.05078125,22136.220703125,1876
2022-07-13,22951.0,23212.19921875,22881.0,22887.400390625,22087.33984375,2040
2022-07-14,23000.0,23000.0,22564.900390625,22700.25,21906.732421875,1945
2022-07-15,22725.0,22961.05078125,21510.05078125,21928.349609375,21161.814453125,7380
2022-07-18,22380.0,22950.0,22052.0,22778.849609375,21982.583984375,2785
2022-07-19,22654.400390625,23045.0,22600.0,22918.5,22117.353515625,1822
2022-07-20,23045.0,23279.94921875,22510.25,22622.55078125,21831.75,2186
2022-07-21,22950.0,23239.94921875,22675.150390625,23031.94921875,22226.8359375,1753
