,open,high,low,close,adjclose,volume
2022-05-24,3482.35009765625,3482.35009765625,3370.0,3384.800048828125,3384.800048828125,421
2022-05-25,3431.60009765625,3435.0,3262.5,3299.800048828125,3299.800048828125,636
2022-05-26,3291.5,3383.39990234375,3139.25,3266.5,3266.5,926
2022-05-27,3300.0,3400.0,3227.89990234375,3316.39990234375,3316.39990234375,904
2022-05-30,3340.75,3530.0,3340.75,3499.75,3499.75,2315
2022-05-31,3499.75,3522.699951171875,3436.699951171875,3469.199951171875,3469.199951171875,525
2022-06-01,3476.0,3510.0,3444.75,3467.64990234375,3467.64990234375,600
2022-06-02,3429.75,3496.949951171875,3422.550048828125,3480.60009765625,3480.60009765625,264
2022-06-03,3532.75,3544.449951171875,3442.050048828125,3450.199951171875,3450.199951171875,1107
2022-06-06,3352.0,3530.0,3352.0,3471.60009765625,3471.60009765625,713
2022-06-07,3451.699951171875,3500.0,3450.0,3466.89990234375,3466.89990234375,194
2022-06-08,3518.85009765625,3530.0,3415.14990234375,3481.800048828125,3481.800048828125,480
2022-06-09,3519.0,3530.050048828125,3401.0,3491.60009765625,3491.60009765625,412
2022-06-10,3480.0,3500.0,3450.0,3465.199951171875,3465.199951171875,231
2022-06-13,3363.35009765625,3424.75,3260.0,3308.10009765625,3308.10009765625,688
2022-06-14,3357.60009765625,3379.89990234375,3294.10009765625,3315.39990234375,3315.39990234375,520
2022-06-15,3322.449951171875,3380.0,3259.14990234375,3297.5,3297.5,201
2022-06-16,3303.0,3374.949951171875,3141.0,3176.949951171875,3176.949951171875,343
2022-06-17,3170.0,3177.449951171875,2970.89990234375,3044.300048828125,3044.300048828125,1372
2022-06-20,3070.10009765625,3102.5,2820.89990234375,2892.949951171875,2892.949951171875,1175
2022-06-21,2874.64990234375,3105.0,2874.64990234375,3099.800048828125,3099.800048828125,2198
2022-06-22,3194.0,3194.0,2990.0,3007.60009765625,3007.60009765625,597
2022-06-23,3047.550048828125,3087.300048828125,2990.050048828125,3023.050048828125,3023.050048828125,378
2022-06-24,3047.699951171875,3230.0,3047.699951171875,3170.64990234375,3170.64990234375,1674
2022-06-27,3218.0,3275.0,3212.0,3235.449951171875,3235.449951171875,554
2022-06-28,3220.85009765625,3233.14990234375,3180.10009765625,3216.39990234375,3216.39990234375,138
2022-06-29,3117.14990234375,3200.0,3111.10009765625,3165.89990234375,3165.89990234375,482
2022-06-30,3191.800048828125,3240.0,3104.0,3116.550048828125,3116.550048828125,1049
2022-07-01,3144.300048828125,3229.89990234375,3130.0,3213.85009765625,3213.85009765625,510
2022-07-04,3269.949951171875,3269.949951171875,3168.050048828125,3191.85009765625,3191.85009765625,195
2022-07-05,3193.39990234375,3256.5,3150.0,3194.89990234375,3194.89990234375,431
2022-07-06,3195.0,3231.0,3137.199951171875,3199.75,3199.75,358
2022-07-07,3162.050048828125,3310.0,3162.050048828125,3274.050048828125,3274.050048828125,642
2022-07-08,3300.0,3301.050048828125,3235.0,3251.550048828125,3251.550048828125,229
2022-07-11,3251.550048828125,3368.0,3210.0,3341.25,3341.25,628
2022-07-12,3330.0,3370.0,3252.449951171875,3315.25,3315.25,542
2022-07-13,3363.300048828125,3408.0,3271.0,3388.800048828125,3388.800048828125,946
2022-07-14,3388.800048828125,3394.949951171875,3336.699951171875,3379.39990234375,3379.39990234375,141
2022-07-15,3377.35009765625,3379.0,3301.25,3341.5,3341.5,276
2022-07-18,3389.89990234375,3391.550048828125,3340.0,3368.75,3368.75,459
2022-07-19,3339.75,3385.0,3339.75,3356.64990234375,3356.64990234375,87
2022-07-20,3380.0,3441.85009765625,3360.0,3382.60009765625,3382.60009765625,487
2022-07-21,3398.89990234375,3409.949951171875,3300.0,3347.25,3347.25,1023
2022-07-22,3397.0,3397.0,3277.10009765625,3305.25,3305.25,695
2022-07-25,3354.0,3354.0,3227.60009765625,3283.39990234375,3283.39990234375,837
2022-07-26,3208.0,3349.0,3208.0,3324.699951171875,3324.699951171875,544
2022-07-27,3226.050048828125,3394.0,3226.050048828125,3321.449951171875,3321.449951171875,383
2022-07-28,3261.0,3405.0,3261.0,3365.35009765625,3365.35009765625,553
2022-07-29,3498.0,3505.0,3350.0,3465.14990234375,3465.14990234375,811
2022-08-01,3467.0,3514.89990234375,3400.14990234375,3501.14990234375,3501.14990234375,577
2022-08-02,3589.0,3589.0,3458.0,3503.85009765625,3503.85009765625,617
2022-08-03,3520.550048828125,3575.0,3440.85009765625,3488.25,3488.25,739
2022-08-04,3538.25,3557.949951171875,3430.0,3472.5,3472.5,1572
2022-08-05,3514.10009765625,3541.949951171875,3431.0,3460.699951171875,3460.699951171875,357
2022-08-08,3500.0,3579.0,3460.300048828125,3498.199951171875,3498.199951171875,301
2022-08-10,3568.14990234375,3606.550048828125,3501.25,3513.64990234375,3513.64990234375,307
2022-08-11,3554.64990234375,3600.0,3461.25,3537.199951171875,3537.199951171875,715
2022-08-12,3537.60009765625,3600.0,3509.35009765625,3534.35009765625,3534.35009765625,365
2022-08-16,3534.35009765625,3593.0,3500.0,3559.89990234375,3559.89990234375,343
2022-08-17,3559.75,3665.0,3525.39990234375,3645.550048828125,3645.550048828125,1457
2022-08-18,3644.449951171875,3666.75,3601.0,3616.699951171875,3616.699951171875,593
2022-08-19,3662.64990234375,3699.0,3590.0,3619.5,3619.5,501
2022-08-22,3619.0,3619.0,3511.25,3538.949951171875,3538.949951171875,266
2022-08-23,3558.949951171875,3662.949951171875,3539.0,3645.60009765625,3645.60009765625,270
2022-08-24,3601.85009765625,3649.75,3551.199951171875,3589.89990234375,3589.89990234375,235
2022-08-25,3636.25,3647.949951171875,3559.949951171875,3563.449951171875,3563.449951171875,213
2022-08-26,3616.85009765625,3649.0,3556.85009765625,3616.75,3616.75,745
2022-08-29,3501.050048828125,3629.949951171875,3501.050048828125,3582.85009765625,3582.85009765625,647
2022-08-30,3573.800048828125,3642.449951171875,3573.800048828125,3614.550048828125,3614.550048828125,302
2022-09-01,3645.449951171875,3689.89990234375,3590.0,3601.300048828125,3601.300048828125,416
2022-09-02,3643.85009765625,3698.89990234375,3599.050048828125,3637.050048828125,3637.050048828125,545
2022-09-05,3688.449951171875,3718.199951171875,3601.300048828125,3630.300048828125,3630.300048828125,655
2022-09-06,3676.0,3700.10009765625,3619.699951171875,3634.5,3634.5,620
2022-09-07,3680.0,3699.0,3575.050048828125,3615.0,3615.0,674
2022-09-08,3669.14990234375,3679.949951171875,3623.85009765625,3646.5,3646.5,481
2022-09-09,3646.5,3700.0,3629.699951171875,3644.75,3644.75,823
2022-09-12,3644.75,3703.0,3633.0,3692.550048828125,3692.550048828125,714
2022-09-13,3663.300048828125,3800.050048828125,3641.0,3737.60009765625,3737.60009765625,5270
2022-09-14,3740.0,4485.10009765625,3683.14990234375,4485.10009765625,4485.10009765625,31970
2022-09-15,4700.0,5242.0,4695.0,4782.25,4782.25,103590
2022-09-16,4790.0,4790.0,4516.35009765625,4640.2998046875,4640.2998046875,16740
2022-09-19,4700.0,4778.0,4515.64990234375,4590.39990234375,4590.39990234375,6198
2022-09-20,4605.2001953125,4743.2001953125,4402.7001953125,4450.64990234375,4450.64990234375,4629
2022-09-21,4410.0,4546.5498046875,4250.0,4278.35009765625,4278.35009765625,3038
2022-09-22,4231.0,4345.0,4188.2998046875,4228.35009765625,4228.35009765625,2492
2022-09-23,4226.35009765625,4283.2998046875,3999.89990234375,4005.89990234375,4005.89990234375,2866
2022-09-26,4005.89990234375,4775.0,3828.14990234375,4627.14990234375,4627.14990234375,37463
